zone,numero,couche,x,y,zrelatif,zreference,zabsolu,orientation,pendage,vers,longueur,largeur,epaisseur
K20,15581,KLF8,,,,,,,,,27,21,6
K20,15582,KLF8,,,,,,,,,42,29,24
K20,15575,KLF7,,,,,,,,,30,24,8
K20,15583,INDET,,,,,,,,,40,28,12
K20,15584,INDET,,,,,,,,,24,17,11
K20,15665,KLD1,,,,,,,,,32,18,16
K20,15666,KLD19,,,,,,,,,25,20,10
K20,15667,KLD19,,,,,,,,,28,20,15
K20,15668,KLD21,,,,,,,,,27,22,17
K20,15669,KLD21,,,,,,,,,33,20,16
K20,15670,KLD21,,,,,,,,,28,15,9
K20,15671,KLD21,,,,,,,,,33,24,14
K20,15672,KLD11,,,,,,,,,26,18,12
K20,15673,KLD11,,,,,,,,,26,15,5
K20,15674,KLD11,,,,,,,,,28,17,10
K20,15676,KLD3,,,,,,,,,40,26,14
K20,15677,KLD16,,,,,,,,,30,17,7
K20,15678,KLD,,,,,,,,,35,19,10
K20,15679,KLC12,,,,,,,,,26,18,14
K20,15680,KLF9,,,,,,,,,26,22,14
K20,15681,KLC10,,,,,,,,,29,16,8
K20,15675,KLD11,,,,,,,,,27,19,14
K20,15682,KLD8,,,,,,,,,35,24,15
K20,15684,KLF6,,,,,,,,,31,15,5
K20,15685,KLF6,,,,,,,,,29,20,5
K20,15687,KLD7,,,,,,,,,26,16,10
K20,15688,KLD7,,,,,,,,,25,20,4
K20,15683,KLD8,,,,,,,,,28,19,15
K20,15686,KLF6,,,,,,,,,27,15,11
K20,15746,KLC1,,,,,,,,,27,16,11
K20,15747,KLC1,,,,,,,,,26,22,12
K20,15748,KLC3,,,,,,,,,33,20,17
K20,15749,KLC3,,,,,,,,,26,20,14
K20,15744,KLC1,,,,,,,,,34,18,14
K20,15745,KLC1,,,,,,,,,34,26,13
K20,15750,KLC3,,,,,,,,,27,22,14
K20,15751,KLC3,,,,,,,,,28,12,7
K20,15752,KLC3,,,,,,,,,33,25,20
K20,15753,KLC3,,,,,,,,,30,26,18
K20,15754,KLD12,,,,,,,,,26,17,10
K20,15755,KLD13,,,,,,,,,39,33,15
K20,15757,KLD13,,,,,,,,,27,19,19
K20,15758,KLD13,,,,,,,,,30,18,16
K20,15759,KLD13,,,,,,,,,28,19,12
K20,15760,KLD13,,,,,,,,,38,19,15
K20,15761,KLD22,,,,,,,,,42,20,8
K20,15762,KLD22,,,,,,,,,31,24,14
K20,15763,KLD22,,,,,,,,,26,20,14
K20,15764,KLD14,,,,,,,,,27,16,12
K20,15765,KLD14,,,,,,,,,30,19,15
K20,15766,KLD14,,,,,,,,,26,22,14
K20,15767,KLD14,,,,,,,,,33,20,12
K20,15768,KLD14,,,,,,,,,39,28,21
K20,15769,KLD14,,,,,,,,,30,22,20
K20,15770,KLD14,,,,,,,,,27,9,7
K20,15771,KLD14,,,,,,,,,27,14,11
K20,15773,KLD14,,,,,,,,,29,20,8
K20,15774,KLD14,,,,,,,,,40,30,13
K20,15775,KLD14,,,,,,,,,37,27,14
K20,15776,KLD14,,,,,,,,,30,17,12
K20,15778,KLD14,,,,,,,,,33,20,14
K20,15779,KLD14,,,,,,,,,27,15,14
K20,15780,KLD14,,,,,,,,,25,20,15
K20,15782,KLD14,,,,,,,,,25,14,9
K20,15783,KLD14,,,,,,,,,26,11,9
K20,15756,KLD13,,,,,,,,,26,12,8
K20,15772,KLD14,,,,,,,,,33,23,10
K20,15777,KLD14,,,,,,,,,28,17,12
K20,15781,KLD14,,,,,,,,,30,19,13
K20,2300,KLD24,58,41,34,240,274,NWSE,SV,SE,35,14,8
K20,15558,KLF7,,,,,,,,,31,27,16
K20,15559,KLF7,,,,,,,,,45,23,10
K20,15560,KLF7,,,,,,,,,47,30,14
K20,15618,INDET,,,,,,,,,33,22,20
K20,15585,KLF9,,,,,,,,,28,24,12
K20,15586,KLF9,,,,,,,,,32,19,11
K20,15587,KLF9,,,,,,,,,49,21,11
K20,15588,KLG33,,,,,,,,,28,18,7
K20,15589,KLF8,,,,,,,,,30,19,10
K20,15590,KLF8,,,,,,,,,27,20,6
K20,15591,KLF8,,,,,,,,,28,15,8
K20,15592,KLF7,,,,,,,,,54,39,10
K20,15593,INDET,,,,,,,,,38,24,14
K20,15594,KLF9,,,,,,,,,27,15,6
K20,15595,KLF9,,,,,,,,,28,18,11
K20,15596,INDET,,,,,,,,,60,39,20
K20,15597,KLF10,,,,,,,,,61,52,32
K20,15599,KLF10,,,,,,,,,30,22,12
K20,15600,KLF10,,,,,,,,,27,22,15
K20,15601,KLF10,,,,,,,,,33,27,12
K20,15602,KLF7,,,,,,,,,61,57,25
K20,15603,INDET,,,,,,,,,30,24,16
K20,15604,INDET,,,,,,,,,32,20,12
K20,15605,INDET,,,,,,,,,31,25,15
K20,15606,INDET,,,,,,,,,31,20,14
K20,15607,INDET,,,,,,,,,29,14,10
K20,15608,INDET,,,,,,,,,27,15,10
K20,15609,INDET,,,,,,,,,26,21,9
K20,15610,INDET,,,,,,,,,29,20,17
K20,15611,INDET,,,,,,,,,31,24,20
K20,15612,INDET,,,,,,,,,28,20,14
K20,15613,INDET,,,,,,,,,26,19,12
K20,15614,INDET,,,,,,,,,26,21,12
K20,15615,INDET,,,,,,,,,26,20,9
K20,15616,INDET,,,,,,,,,29,15,12
K20,15617,INDET,,,,,,,,,30,15,11
K20,15619,INDET,,,,,,,,,25,14,5
K20,15620,INDET,,,,,,,,,33,20,12
K20,15621,INDET,,,,,,,,,42,37,19
K20,15622,INDET,,,,,,,,,30,26,16
K20,15623,INDET,,,,,,,,,26,25,10
K20,15624,INDET,,,,,,,,,31,25,17
K20,15625,INDET,,,,,,,,,37,23,18
K20,15626,INDET,,,,,,,,,37,18,13
K20,15627,INDET,,,,,,,,,29,20,12
K20,15628,INDET,,,,,,,,,28,17,15
K20,15629,INDET,,,,,,,,,28,26,15
K20,15630,INDET,,,,,,,,,31,22,7
K20,15631,KLD10,,,,,,,,,37,28,13
K20,15632,KLD10,,,,,,,,,46,31,17
K20,15633,KLD10,,,,,,,,,33,28,18
K20,15634,KLD10,,,,,,,,,26,17,9
K20,15635,KLD23,,,,,,,,,28,18,12
K20,15636,KLD24,,,,,,,,,29,14,13
K20,15637,KLD24,,,,,,,,,31,25,24
K20,15638,KLF5M,,,,,,,,,30,17,15
K20,15639,KLF5M,,,,,,,,,29,18,8
K20,15646,KLE3,,,,,,,,,40,30,14
K20,15647,KLE3,,,,,,,,,26,26,20
K20,15640,KLE6,,,,,,,,,28,25,12
K20,15641,KLE6,,,,,,,,,28,18,12
K20,15642,KLE6,,,,,,,,,27,19,9
K20,15643,KLE6,,,,,,,,,28,25,14
K20,15644,KLE6,,,,,,,,,40,19,12
K20,15645,KLE8,,,,,,,,,30,13,6
K20,15648,KLD4,,,,,,,,,31,25,11
K20,15649,KLE2,,,,,,,,,30,21,13
K20,15650,KLE4,,,,,,,,,26,19,12
K20,15651,KLE4,,,,,,,,,34,24,14
K20,15652,KLE4,,,,,,,,,27,18,12
K20,15653,KLE4,,,,,,,,,28,22,9
K20,15654,KLE1,,,,,,,,,26,15,11
K20,15655,KLE1,,,,,,,,,39,27,14
K20,15656,KLE1,,,,,,,,,26,15,10
K20,15657,KLE1,,,,,,,,,30,19,9
K20,15658,KLE1,,,,,,,,,30,21,17
K20,15659,KLE1,,,,,,,,,30,27,12
K20,15661,KLE1,,,,,,,,,28,15,12
K20,15662,KLE1,,,,,,,,,30,22,14
K20,15663,KLE1,,,,,,,,,29,15,8
K20,15664,KLE1,,,,,,,,,33,24,19
K20,15854,KLG7,,,,,,,,,56,31,19
K20,15855,KLG12,,,,,,,,,28,23,8
K20,13610,KLC3,,,,,,,,,21,14,5
K20,1422,KLC7,64,60,75,0,75,EW,P,,17,11,10
K20,13209,KLD12,,,,,,,,,12,7,4
K20,11968,KLD12,,,,,,,,,13,12,10
K20,13211,KLD12,,,,,,,,,8,5,1
K20,11982,KLD12,,,,,,,,,12,10,3
K20,12139,KLD11,,,,,,,,,7,6,1
K20,12222,KLD11,,,,,,,,,10,8,2
K20,51037,KLD12,,,,,,,,,0,0,0
K20,22,KLC,56,30,84,0,84,NS,P,,36,28,23
K20,1412,KLC7,59,73,75,0,75,NESW,P,,52,39,24
K20,1582,KLC10,84,60,79,0,79,EW,C,,80,22,20
K20,1429,KLC7,63,61,77,0,77,EW,P,,30,20,16
K20,1454,KLC8,72,78,69,0,69,NS,P,,51,10,3
K20,1676,KLC10,79,75,"77,5",0,"77,5",NESW,O,S,70,60,25
K20,38,KLC,59,31,89,0,89,EW,C,,85,59,31
K20,1479,KLC9,75,65,"75,5",0,"75,5",,V,,15,14,9
K20,50567,KLD10,,,,,,,,,0,0,0
K20,1855,KLC12,99,31,87,0,87,NS,P,,40,20,20
K20,11858,KLD14,,,,,,,,,11,10,4
K20,14136,KLD3,,,,,,,,,,,
K20,51058,KLG2,,,,,,,,,0,0,0
K20,1526,KLC10,76,40,78,0,78,NS,P,,20,15,6
K20,1482,KLC9,81,76,70,0,70,NWSE,SV,NW,26,19,13
K20,1589,KLC10,89,66,"75,5",0,"75,5",NWSE,SC,SW,8,8,2
K20,1690,KLC10,71,45,85,0,85,NS,O,N,60,35,30
K20,1458,KLC8,74,71,71,0,71,EW,P,,65,37,22
K20,13161,KLD10,,,,,,,,,8,7,2
K20,13162,KLD10,,,,,,,,,9,7,2
K20,13163,KLD10,,,,,,,,,7,7,2
K20,13164,KLD10,,,,,,,,,6,6,1
K20,13160,KLD10,,,,,,,,,13,11,2
K20,11852,KLD14,,,,,,,,,11,10,4
K20,13310,KLC12,,,,,,,,,9,7,5
K20,59878,KLD13,,,,,,,,,0,0,0
K20,11986,KLD12,,,,,,,,,12,7,2
K20,12071,KLD13,,,,,,,,,15,10,4
K20,1588,KLC10,80,63,"78,5",0,"78,5",NESW,O,E,25,22,10
K20,13150,KLD14,,,,,,,,,27,12,7
K20,12253,KLD5,,,,,,,,,12,11,5
K20,12026,KLE4,,,,,,,,,10,10,3
K20,12025,KLE4,,,,,,,,,10,7,4
K20,1570,KLC10,86,69,"76,5",0,"76,5",NESW,O,NW,17,10,8
K20,1559,KLC10,84,72,74,0,74,NWSE,O,S,20,8,3
K20,12020,KLE4,,,,,,,,,15,15,4
K20,12024,KLE4,,,,,,,,,10,8,3
K20,12029,KLE4,,,,,,,,,15,8,3
K20,4,KLC,47,48,58,0,58,NS,V,,30,30,20
K20,1182,KLC2,89,58,59,0,59,NS,O,NE,89,58,39
K20,1275,KLC2,81,30,64,0,64,EW,P,,11,7,5
K20,1067,KLC1,76,33,48,"1,5","49,5",EW,O,W,25,20,15
K20,63,KLC,76,34,59,0,59,NS,O,N,37,25,20
K20,37,KLC,63,54,53,0,53,EW,P,,26,23,12
K20,1034,KLB1,79,24,40,"1,5","41,5",NS,V,,24,22,18
K20,1258,KLC3,87,27,63,0,63,EW,C,,41,25,15
K20,1129,KLC3,85,30,51,0,51,NWSE,O,S,16,16,7
K20,1162,KLC3,87,48,53,0,53,NWSE,O,NW,42,32,19
